kakaoId,name,rawText
"8453791","예송추어탕","영업정보
접기
영업 전09:00 오픈
화(7/28)
09:00 ~ 21:00
수(7/29)
09:00 ~ 21:00
목(7/30)
09:00 ~ 21:00
금(7/31)
09:00 ~ 21:00
토(8/1)
09:00 ~ 21:00
일(8/2)
09:00 ~ 21:00
월(8/3)
09:00 ~ 21:00"
"16198175","한국식당","영업정보
영업시간을 알려주세요"
"1883905944","돼지촌","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
수(7/29)
11:00 ~ 22:00
목(7/30)
11:00 ~ 22:00
금(7/31)
11:00 ~ 22:00
토(8/1)
11:00 ~ 22:00
일(8/2)
11:00 ~ 22:00
월(8/3)
11:00 ~ 22:00"
"21999861","김동현의용곱창","영업정보
접기
영업 전17:00 오픈
화(7/28)
17:00 ~ 23:00
수(7/29)
17:00 ~ 23:00
목(7/30)
17:00 ~ 23:00
금(7/31)
17:00 ~ 23:00
토(8/1)
17:00 ~ 23:00
일(8/2)
17:00 ~ 23:00
월(8/3)
17:00 ~ 23:00"
"1869248209","대풍수","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 21:00
수(7/29)
11:00 ~ 21:00
목(7/30)
11:00 ~ 21:00
금(7/31)
11:00 ~ 21:00
토(8/1)
휴무일
일(8/2)
11:00 ~ 21:00
월(8/3)
11:00 ~ 21:00"
"21022108","담양숯불갈비","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
수(7/29)
11:00 ~ 22:00
목(7/30)
11:00 ~ 22:00
금(7/31)
11:00 ~ 22:00
토(8/1)
11:00 ~ 22:00
일(8/2)
11:00 ~ 22:00
월(8/3)
11:00 ~ 22:00"
"9213899","스피드반점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 20:00
수(7/29)
11:00 ~ 20:00
목(7/30)
11:00 ~ 20:00
금(7/31)
11:00 ~ 20:00
토(8/1)
휴무일
일(8/2)
11:00 ~ 20:00
월(8/3)
11:00 ~ 20:00"
"295407511","소중대","영업정보
접기
영업 전09:00 오픈
화(7/28)
09:00 ~ 20:30
20:25 라스트오더
수(7/29)
09:00 ~ 20:30
20:25 라스트오더
목(7/30)
09:00 ~ 20:30
20:25 라스트오더
금(7/31)
09:00 ~ 20:30
20:25 라스트오더
토(8/1)
09:00 ~ 20:30
20:25 라스트오더
일(8/2)
09:00 ~ 20:30
20:25 라스트오더
월(8/3)
09:00 ~ 20:30
20:25 라스트오더"
"8616265","평화반점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 19:30
수(7/29)
11:00 ~ 19:30
목(7/30)
11:00 ~ 19:30
금(7/31)
11:00 ~ 19:30
토(8/1)
11:00 ~ 19:30
일(8/2)
11:00 ~ 19:30
월(8/3)
11:00 ~ 19:30"
"26071022","청미반점","영업정보
접기
영업 전09:00 오픈
화(7/28)
09:00 ~ 20:30
수(7/29)
09:00 ~ 20:30
목(7/30)
09:00 ~ 20:30
금(7/31)
09:00 ~ 20:30
토(8/1)
09:00 ~ 20:30
일(8/2)
09:00 ~ 20:30
월(8/3)
09:00 ~ 20:30"
"27210013","이비가짬뽕 광주전남대점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 21:00
수(7/29)
11:00 ~ 21:00
목(7/30)
11:00 ~ 21:00
금(7/31)
11:00 ~ 21:00
토(8/1)
11:00 ~ 21:00
일(8/2)
11:00 ~ 21:00
월(8/3)
11:00 ~ 21:00"
"1780481632","도향","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
수(7/29)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
목(7/30)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
금(7/31)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
토(8/1)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
일(8/2)
11:00 ~ 20:00
14:30 ~ 17:00 브레이크타임
월(8/3)
휴무일
영업정보 전체보기"
"792701540","신사천마라탕","영업정보
접기
영업 전10:30 오픈
화(7/28)
10:30 ~ 22:00
수(7/29)
10:30 ~ 22:00
목(7/30)
10:30 ~ 22:00
금(7/31)
10:30 ~ 22:00
토(8/1)
10:30 ~ 22:00
일(8/2)
10:30 ~ 22:00
월(8/3)
10:30 ~ 22:00"
"112736157","마라미녀 전대점","영업정보
접기
곧 영업 마감01:00 까지
월(7/27)
11:00 ~ 01:00
화(7/28)
11:00 ~ 01:00
수(7/29)
11:00 ~ 01:00
목(7/30)
11:00 ~ 01:00
금(7/31)
11:00 ~ 01:00
토(8/1)
11:00 ~ 01:00
일(8/2)
11:00 ~ 01:00"
"1925236191","일미양꼬치","영업정보
접기
영업 전17:00 오픈
화(7/28)
17:00 ~ 21:00
수(7/29)
17:00 ~ 21:00
목(7/30)
17:00 ~ 21:00
금(7/31)
17:00 ~ 21:00
토(8/1)
17:00 ~ 21:00
일(8/2)
휴무일
월(8/3)
17:00 ~ 21:00"
"470335320","탕화쿵푸마라탕 전대점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
수(7/29)
11:00 ~ 22:00
목(7/30)
11:00 ~ 22:00
금(7/31)
11:00 ~ 22:00
토(8/1)
11:00 ~ 22:00
일(8/2)
11:00 ~ 22:00
월(8/3)
휴무일"
"953930264","하늘성","영업정보
접기
영업 전09:00 오픈
화(7/28)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
수(7/29)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
목(7/30)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
금(7/31)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
토(8/1)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
일(8/2)
09:00 ~ 20:00
15:00 ~ 16:00 브레이크타임
월(8/3)
휴무일"
"8711642","금룡","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 23:00
수(7/29)
11:00 ~ 23:00
목(7/30)
11:00 ~ 23:00
금(7/31)
11:00 ~ 23:00
토(8/1)
11:00 ~ 23:00
일(8/2)
11:00 ~ 23:00
월(8/3)
11:00 ~ 23:00"
